"VariableName","Value","ValueLabel"
"Carnegie Classification 2021: Size and Setting (HD2022)","6","Four-year, very small, primarily nonresidential"
"Carnegie Classification 2021: Size and Setting (HD2022)","7","Four-year, very small, primarily residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","8","Four-year, very small, highly residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","9","Four-year, small, primarily nonresidential"
"Carnegie Classification 2021: Size and Setting (HD2022)","10","Four-year, small, primarily residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","11","Four-year, small, highly residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","12","Four-year, medium, primarily nonresidential"
"Carnegie Classification 2021: Size and Setting (HD2022)","13","Four-year, medium, primarily residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","14","Four-year, medium, highly residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","15","Four-year, large, primarily nonresidential"
"Carnegie Classification 2021: Size and Setting (HD2022)","16","Four-year, large, primarily residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","17","Four-year, large, highly residential"
"Carnegie Classification 2021: Size and Setting (HD2022)","18","Exclusively graduate/professional"
"Carnegie Classification 2021: Size and Setting (HD2022)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2021: Basic (HD2022)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2021: Basic (HD2022)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2021: Basic (HD2022)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
